prior,update_form,detection_rate,mean_n_missions,median_n_missions,mean_cost_used,mean_final_p_true,mean_final_entropy,n_trials,round,split
P10_mixed_wit_uniform50_temp2,lik_x1_5,0.38333333333333336,5.508333333333334,7.0,415.68333333333334,0.0009114779843804225,7.340782330045077,120,1,train
P10_mixed_wit_uniform50_temp2,lik_x2,0.38333333333333336,5.508333333333334,7.0,415.68333333333334,0.0008929977147165194,7.3317492142901175,120,1,train
P8_mixed_wit_vague,soft_x0_75,0.375,8.366666666666667,12.0,434.23333333333335,0.0031610679167060228,6.457564326965269,120,1,train
P8_mixed_wit_vague,std,0.375,8.366666666666667,12.0,434.23333333333335,0.0031383937045783104,6.46163203823676,120,1,train
P8_mixed_wit_vague,explore_x1_5,0.375,6.491666666666666,9.0,438.18333333333334,0.0031254737589912645,6.435064686238108,120,1,train
P8_mixed_wit_vague,lik_x1_5,0.375,8.366666666666667,12.0,435.46666666666664,0.0030983560583484173,6.443180976881104,120,1,train
P8_mixed_wit_vague,lik_x2,0.375,8.366666666666667,12.0,435.46666666666664,0.003081773639681505,6.410089161761381,120,1,train
EB_r01_bw3.5_u15,explore_x1_5,0.5333333333333333,6.758333333333334,7.0,354.7916666666667,0.0027959791984950317,6.640857129913718,120,2,train
EB_r01_bw2.5_u10,soft_x0_75,0.5166666666666667,7.6,9.5,387.1,0.0036583349551239487,6.358601578787506,120,2,train
EB_r01_bw2.5_u10,std,0.5166666666666667,7.6,9.5,387.1,0.0036000151484395938,6.404990493442793,120,2,train
EB_r01_bw2.5_u10,explore_x1_5,0.5166666666666667,7.6,9.5,387.1,0.003490006860808179,6.437848689755132,120,2,train
EB_r01_bw2.5_u10,lik_x1_5,0.5166666666666667,7.6,9.5,387.1,0.003490006860808179,6.437848689755132,120,2,train
EB_r01_bw2.5_u10,lik_x2,0.5166666666666667,7.6,9.5,387.1,0.003397786398497803,6.437770003142386,120,2,train
EB_r02_bw1.75_u05,soft_x0_75,0.475,7.941666666666666,12.0,387.44166666666666,0.004754324657764766,5.868944192259213,120,2,train
EB_r01_bw3.5_u15,soft_x0_75,0.475,5.475,7.0,385.55,0.002918096211688704,6.61722375588518,120,2,train
EB_r01_bw3.5_u15,std,0.475,5.475,7.0,385.55,0.002862056833296833,6.628024929773153,120,2,train
EB_r01_bw3.5_u15,lik_x1_5,0.475,5.475,7.0,385.55,0.0027404149407918095,6.6254085218188665,120,2,train
EB_r01_bw3.5_u15,lik_x2,0.475,5.475,7.0,385.55,0.0026326668960701158,6.6138019763059965,120,2,train
EB_r02_bw1.75_u05,std,0.4583333333333333,6.075,8.0,383.31666666666666,0.004604736158470347,5.949563718180177,120,2,train
EB_r02_bw1.75_u05,explore_x1_5,0.4583333333333333,6.075,8.0,383.31666666666666,0.004522963176361439,5.981232587210802,120,2,train
EB_r02_bw1.75_u05,lik_x1_5,0.4583333333333333,6.075,8.0,383.31666666666666,0.004522963176361439,5.981232587210802,120,2,train
EB_r02_bw1.75_u05,lik_x2,0.4583333333333333,6.075,8.0,383.31666666666666,0.004449369412231663,5.976959359542401,120,2,train
EB_r02_bw2.5_u10,soft_x0_75,0.4583333333333333,7.075,10.0,387.09166666666664,0.003651680885117172,6.303074934656395,120,2,train
EB_r02_bw2.5_u10,std,0.4583333333333333,7.075,10.0,387.09166666666664,0.003594308685656434,6.338035482681573,120,2,train
P3_quadratic_nowit_informative,explore_x1_5,0.4583333333333333,8.533333333333333,12.0,380.95,0.0018075290556690486,6.718177704632935,120,2,train
P3_quadratic_nowit_informative,lik_x1_5,0.4583333333333333,8.533333333333333,12.0,380.95,0.0018075290556690486,6.718177704632935,120,2,train
P4_quadratic_wit_informative,soft_x0_75,0.45,7.75,11.0,398.31666666666666,0.002244551065333163,6.711990741437333,120,2,train
P3_quadratic_nowit_informative,soft_x0_75,0.45,7.958333333333333,11.0,412.9583333333333,0.002065026984765405,6.7181425015966445,120,2,train
P4_quadratic_wit_informative,std,0.44166666666666665,8.308333333333334,12.0,395.9166666666667,0.0022043503396091124,6.711581994041115,120,2,train
P4_quadratic_wit_informative,lik_x2,0.44166666666666665,8.491666666666667,12.0,377.1166666666667,0.0020930547623853606,6.689919392880669,120,2,train
P3_quadratic_nowit_informative,std,0.44166666666666665,8.516666666666667,12.0,410.55833333333334,0.0019995234955397004,6.71762219847729,120,2,train
P5_mixed_nowit_informative,std,0.44166666666666665,6.616666666666666,9.0,410.46666666666664,0.001752398083476303,6.853491148194252,120,2,train
P5_mixed_nowit_informative,explore_x1_5,0.44166666666666665,6.616666666666666,9.0,410.46666666666664,0.0016817533861332723,6.835802574612499,120,2,train
P5_mixed_nowit_informative,lik_x1_5,0.44166666666666665,6.616666666666666,9.0,410.46666666666664,0.0016817533861332723,6.835802574612499,120,2,train
P5_mixed_nowit_informative,lik_x2,0.44166666666666665,6.616666666666666,9.0,410.46666666666664,0.001635597983408516,6.820565188828521,120,2,train
P4_quadratic_wit_informative,explore_x1_5,0.43333333333333335,8.575,12.0,371.48333333333335,0.002081911136844928,6.714857035994864,120,2,train
P4_quadratic_wit_informative,lik_x1_5,0.43333333333333335,8.575,12.0,371.48333333333335,0.002081911136844928,6.714857035994864,120,2,train
P3_quadratic_nowit_informative,lik_x2,0.43333333333333335,8.708333333333334,12.0,392.3833333333333,0.0017598337259824698,6.695342958921222,120,2,train
P6_mixed_wit_informative,std,0.43333333333333335,7.158333333333333,10.0,399.95,0.001493206623822232,7.002131169953818,120,2,train
P9_mixed_wit_uniform30,soft_x0_75,0.43333333333333335,5.833333333333333,8.0,378.6,0.001254994996835298,7.250638283361124,120,2,train
P9_mixed_wit_uniform30,std,0.43333333333333335,5.833333333333333,8.0,378.6,0.0012337312776635639,7.248713318898646,120,2,train
P9_mixed_wit_uniform30,explore_x1_5,0.43333333333333335,4.658333333333333,6.0,389.53333333333336,0.0012300910845033587,7.240605798096962,120,2,train
